SURVYEAR	FIPST	LEAID	TOTD912	EBS912	DRP912	TOTDPL	AFGEB	AFGR	TOTOHC
2008-09	16	1601710	-1	447	-1.0	115	120	95.8	0
2008-09	16	1601740	0	98	0.0	19	24	79.2	3
2008-09	16	1601770	7	1263	0.5	247	310	79.7	0
2008-09	16	1601800	-3	1432	-3.0	295	355	83.1	9
2008-09	16	1601830	10	153	6.5	36	42	85.7	0
2008-09	16	1601860	10	1644	0.6	368	446	82.5	0
2008-09	16	1601900	0	67	0.0	18	20	90.0	0
2008-09	16	1601920	16	1352	1.2	332	320	100.0	12
2008-09	16	1601950	0	397	0.0	81	95	85.3	0
2008-09	16	1601980	-3	222	-3.0	42	65	64.6	0
2008-09	16	1602030	0	331	0.0	72	97	74.2	0
2008-09	16	1602060	0	83	0.0	8	14	57.1	3
2008-09	16	1602070	-3	261	-3.0	59	62	95.2	0
2008-09	16	1602100	142	9803	1.4	1887	2339	80.7	0
2008-09	16	1602130	11	924	1.2	177	211	83.9	3
2008-09	16	1602160	0	61	0.0	23	16	100.0	0
2008-09	16	1602190	86	1466	5.9	270	369	73.2	0
2008-09	16	1602220	8	792	1.0	172	197	87.3	2
2008-09	16	1602250	23	1121	2.0	228	300	76.0	4
2008-09	16	1602280	0	44	0.0	12	11	100.0	0
2008-09	16	1602310	0	46	0.0	11	14	78.6	0
2008-09	16	1602340	31	4025	0.8	761	1081	70.4	0
2008-09	16	1602370	8	301	2.7	54	80	67.5	0
2008-09	16	1602400	0	53	0.0	14	14	100.0	0
2008-09	16	1602430	0	51	0.0	10	10	100.0	0
2008-09	16	1602460	-3	114	-3.0	20	26	76.9	0
2008-09	16	1602490	0	275	0.0	59	62	95.2	0
2008-09	16	1602520	-3	461	-3.0	128	135	94.8	0
2008-09	16	1602550	4	328	1.2	70	80	87.5	0
2008-09	16	1602580	4	546	0.7	99	137	72.3	0
2008-09	16	1602610	-2	-2	-2.0	-2	-2	-2.0	-2
2008-09	16	1602640	39	3662	1.1	854	929	91.9	9
2008-09	16	1602670	32	1662	1.9	277	435	63.7	0
2008-09	16	1602700	0	138	0.0	38	51	74.5	0
2008-09	16	1602730	-2	-2	-2.0	-2	-2	-2.0	-2
2008-09	16	1602760	0	64	0.0	19	22	86.4	0
2008-09	16	1602790	-3	219	-3.0	48	55	87.3	0
2008-09	16	1602820	0	44	0.0	5	9	55.6	0
2008-09	16	1602850	0	371	0.0	85	116	73.3	0
2008-09	16	1602910	4	649	0.6	127	155	81.9	0
2008-09	16	1602940	-3	159	-3.0	26	30	86.7	0
2008-09	16	1602970	-3	557	-3.0	131	175	74.9	0
2008-09	16	1603000	4	269	1.5	70	74	94.6	0
2008-09	16	1603030	-3	28	-3.0	8	13	61.5	0
2008-09	16	1603060	5	394	1.3	94	103	91.3	0
2008-09	16	1603090	-1	409	-1.0	92	103	89.3	0
2008-09	16	1603120	-2	-2	-2.0	-2	-2	-2.0	-2
2008-09	16	1603180	5	436	1.1	78	94	83.0	0
2008-09	16	1603210	-2	-2	-2.0	-2	-2	-2.0	-2
2008-09	16	1603240	64	2079	3.1	401	541	74.1	0
2008-09	16	1603270	5	202	2.5	49	53	92.5	0
2008-09	16	1603300	-3	163	-3.0	43	49	87.8	0
2008-09	16	1603330	5	493	1.0	122	145	84.1	0
2008-09	16	1603360	9	309	2.9	68	82	82.9	2
2008-09	16	1603400	6	193	3.1	51	62	82.3	3
2008-09	16	1603420	0	175	0.0	41	43	95.3	0
2008-09	16	1603480	0	106	0.0	24	35	68.6	0
2008-09	16	1603511	0	-1	-1.0	0	4	0.0	0
2008-09	17	1700001	13	165	7.9	38	42	90.5	-2
2008-09	17	1700002	28	373	7.5	79	105	75.2	-2
2008-09	17	1700003	20	279	7.2	61	74	82.4	-2
2008-09	17	1700004	14	219	6.4	51	53	96.2	-2
2008-09	17	1700005	46	668	6.9	158	190	83.2	-2
2008-09	17	1700006	237	832	28.5	35	291	12.0	4
2008-09	17	1700007	10	250	4.0	64	65	98.5	-2
2008-09	17	1700009	-2	-2	-2.0	-2	-2	-2.0	-2
2008-09	17	1700010	-2	-2	-2.0	-2	-2	-2.0	-2
2008-09	17	1700012	-2	-2	-2.0	-2	-2	-2.0	-2
2008-09	17	1700014	11	183	6.0	35	40	87.5	-2
2008-09	17	1700015	6	76	7.9	21	23	91.3	-2
2008-09	17	1700017	-2	-2	-2.0	-2	-2	-2.0	-2
2008-09	17	1700018	-2	-2	-2.0	-2	-2	-2.0	-2
2008-09	17	1700023	-2	0	-2.0	-2	46	-2.0	-2
2008-09	17	1700024	-2	0	-2.0	-2	19	-2.0	-2
2008-09	17	1700029	-2	0	-2.0	-2	46	-2.0	-2
2008-09	17	1700030	-2	0	-2.0	-2	41	-2.0	-2
2008-09	17	1700031	-2	0	-2.0	-2	7	-2.0	-2
2008-09	17	1700032	-2	0	-2.0	-2	45	-2.0	-2
2008-09	17	1700034	-2	-2	-2.0	-2	-2	-2.0	-2
2008-09	17	1700036	-2	-2	-2.0	-2	-2	-2.0	-2
2008-09	17	1700037	-2	-2	-2.0	-2	-2	-2.0	-2
2008-09	17	1700039	-2	0	-2.0	-2	3	-2.0	-2
2008-09	17	1700041	17	325	5.2	59	71	83.1	-2
2008-09	17	1700044	19	428	4.4	93	102	91.2	-2
2008-09	17	1700045	24	262	9.2	61	71	85.9	-2
2008-09	17	1700048	-2	-2	-2.0	-2	-2	-2.0	-2
2008-09	17	1700051	-2	0	-2.0	-2	8	-2.0	-2
2008-09	17	1700052	-2	0	-2.0	-2	22	-2.0	-2
2008-09	17	1700053	-2	-2	-2.0	-2	-2	-2.0	-2
2008-09	17	1700054	-2	0	-2.0	-2	2	-2.0	-2
2008-09	17	1700056	-2	0	-2.0	-2	8	-2.0	-2
2008-09	17	1700057	-2	-2	-2.0	-2	-2	-2.0	-2
2008-09	17	1700059	-2	0	-2.0	-2	39	-2.0	-2
2008-09	17	1700064	-2	-2	-2.0	-2	-2	-2.0	-2
2008-09	17	1700065	-2	-2	-2.0	-2	-2	-2.0	-2
2008-09	17	1700067	-2	-2	-2.0	-2	-2	-2.0	-2
2008-09	17	1700068	-2	-2	-2.0	-2	-2	-2.0	-2
2008-09	17	1700069	-2	-2	-2.0	-2	-2	-2.0	-2
2008-09	17	1700072	-2	-2	-2.0	-2	-2	-2.0	-2
2008-09	17	1700074	-2	0	-2.0	-2	21	-2.0	-2
2008-09	17	1700077	-2	-2	-2.0	-2	-2	-2.0	-2
2008-09	17	1700080	-2	0	-2.0	-2	12	-2.0	-2
2008-09	17	1700081	-2	-2	-2.0	-2	-2	-2.0	-2
2008-09	17	1700083	-2	-2	-2.0	-2	-2	-2.0	-2
2008-09	17	1700084	-2	0	-2.0	-2	9	-2.0	-2
2008-09	17	1700089	-2	0	-2.0	-2	-2	-2.0	-2
2008-09	17	1700091	-2	0	-2.0	-2	4	-2.0	-2
2008-09	17	1700092	62	352	17.6	68	101	67.3	-2
2008-09	17	1700097	-2	0	-2.0	-2	9	-2.0	-2
2008-09	17	1700098	-2	0	-2.0	-2	43	-2.0	-2
2008-09	17	1700099	-2	0	-2.0	-2	123	-2.0	-2
2008-09	17	1700100	-2	0	-2.0	-2	60	-2.0	-2
2008-09	17	1700101	-2	-2	-2.0	-1	-2	-2.0	-1
2008-09	17	1700102	-3	61	-3.0	14	11	100.0	-2
2008-09	17	1700103	-2	-2	-2.0	-2	-2	-2.0	-2
2008-09	17	1700105	-3	145	-3.0	35	42	83.3	-2
2008-09	17	1700106	13	174	7.5	38	46	82.6	-2
2008-09	17	1700109	11	182	6.0	36	47	76.6	-2
2008-09	17	1700110	245	916	26.8	151	288	52.4	-2
2008-09	17	1700112	-2	-2	-2.0	-2	-2	-2.0	-2
2008-09	17	1700113	-1	274	-1.0	59	69	85.5	-2
2008-09	17	1700114	17	237	7.2	45	58	77.6	-2
2008-09	17	1700115	14	211	6.6	43	46	93.5	-2
2008-09	17	1700116	-2	0	-2.0	-2	6	-2.0	-2
2008-09	17	1700118	-2	0	-2.0	-2	-2	-2.0	-2
2008-09	17	1700119	-2	-2	-2.0	-2	-2	-2.0	-2
2008-09	17	1700120	-2	-2	-2.0	-2	-2	-2.0	-2
2008-09	17	1700122	10	133	7.5	29	36	80.6	-2
2008-09	17	1700123	24	334	7.2	76	89	85.4	-2
2008-09	17	1700125	38	411	9.3	89	119	74.8	-2
2008-09	17	1700126	21	274	7.7	63	76	82.9	-2
2008-09	17	1700147	-2	-2	-2.0	-2	-2	-2.0	-2
2008-09	17	1700152	-2	0	-2.0	-2	5	-2.0	-2
2008-09	17	1700153	13	228	5.7	49	54	90.7	-2
2008-09	17	1700155	-2	-2	-2.0	-2	-2	-2.0	-2
2008-09	17	1700162	-2	-2	-2.0	-2	-2	-2.0	-2
2008-09	17	1700163	-2	0	-2.0	-2	27	-2.0	-2
2008-09	17	1700164	-2	-2	-2.0	-2	-2	-2.0	-2
2008-09	17	1700165	-2	-2	-2.0	-2	7	-2.0	-2
2008-09	17	1700166	-2	0	-2.0	-2	47	-2.0	-2
2008-09	17	1700167	-2	0	-2.0	-2	9	-2.0	-2
2008-09	17	1700168	-2	0	-2.0	-2	-2	-2.0	-2
2008-09	17	1700169	-2	0	-2.0	-2	6	-2.0	-2
2008-09	17	1700170	-2	0	-2.0	-2	6	-2.0	-2
2008-09	17	1700171	-2	0	-2.0	-2	20	-2.0	-2
2008-09	17	1700172	-2	-2	-2.0	-2	5	-2.0	-2
2008-09	17	1700173	-2	0	-2.0	-2	-2	-2.0	-2
2008-09	17	1700174	-2	0	-2.0	-2	7	-2.0	-2
2008-09	17	1700175	-2	0	-2.0	-2	17	-2.0	-2
2008-09	17	1700176	22	141	15.6	22	36	61.1	-2
2008-09	17	1700177	-2	0	-2.0	-2	33	-2.0	-2
2008-09	17	1700178	-2	0	-2.0	-2	-2	-2.0	-2
2008-09	17	1700179	-2	0	-2.0	-2	10	-2.0	-2
2008-09	17	1700180	-2	0	-2.0	-2	7	-2.0	-2
2008-09	17	1700182	-3	58	-3.0	-1	20	-1.0	-1
2008-09	17	1700183	-2	0	-2.0	-2	6	-2.0	-2
2008-09	17	1700184	-2	0	-2.0	-2	-2	-2.0	-2
2008-09	17	1700185	-2	0	-2.0	-2	6	-2.0	-2
