School District,,,LEAID,,,,,,,,,,,,,,,,,PovertyRate,
Burnt Hills-Ballston Lake Central School District,NY,,3605940,"18,107",5.19,18.34,17,43.3,97.4,1.4,0.06,1.15,0,1.01,95.6,39.1,1.4,"73,529","84,152",6.7,"212,200"
Byram Hills Central School District,NY,,3606060,"11,656",5.92,25.11,10.6,40.4,90.93,2.86,0.09,4.63,0,2.45,95.9,67.7,3.51,"186,677","199,934",5.3,"1,000,000"
Byron-Bergen Central School District,NY,,3606090,"6,944",7.06,14.83,13.02,42.5,97.84,0.78,0,0,0,2.59,90.9,17.4,0.42,"54,267","58,333",7,"97,600"
Cairo-Durham Central School District,NY,,3606160,"9,884",6.37,18.88,14.1,39.6,99.03,0.2,0,0,0,3.75,80.8,16.3,0.65,"46,833","51,503",16.1,"178,900"
Caledonia-Mumford Central School District,NY,,3606180,"5,526",5.9,18.51,9.5,40.3,94.95,2.32,0.4,0.6,0,1.45,91.9,23.2,1.56,"57,880","69,787",6.8,"125,500"
Cambridge Central School District,NY,,3606210,"6,661",6.13,15.48,19.38,45.1,98.57,0.11,0.11,0.62,0,0.38,89.8,22.4,0.66,"51,940","58,222",12,"158,000"
Camden Central School District,NY,,3606240,"13,784",6.04,19.76,13.87,40.2,97.57,0.65,0.01,0.05,0,1.03,80.7,15.1,0.54,"49,650","54,190",11.5,"83,500"
Campbell-Savona Central School District,NY,,3600020,"6,036",5.38,19.37,10.59,40,96.02,1.44,0.22,0.31,0,0,87.3,13.1,0.51,"47,399","52,336",14,"75,500"
Canajoharie Central School District,NY,,3606300,"6,225",6.52,16.69,16.58,42.9,96.18,1.51,0,0.08,0,1.69,81.6,15.5,0.77,"44,974","54,775",16.4,"93,000"
Canandaigua City School District,NY,,3606330,"24,537",5.13,17.68,17.24,42.3,95.3,1.35,0.19,1.23,0,2.11,92.2,33.5,1.04,"52,298","69,438",8.9,"140,500"
Canaseraga Central School District,NY,,3606360,"1,751",5.48,19.13,14.91,40.4,98.97,0,0.34,0,0,0,88.5,11.6,0,"43,929","52,083",12.6,"75,700"
Canastota Central School District,NY,,3606390,"9,918",4.98,15.33,14.15,41.7,96.07,0.23,1.09,0.69,0,1.07,87.7,18,0.66,"48,240","58,070",9.6,"92,800"
Candor Central School District,NY,,3606420,"5,118",7.48,18.84,12.37,38.8,95.82,0.82,0.06,1.45,0,1.21,84.7,14.6,0.32,"47,757","54,386",8.7,"78,900"
Canisteo-Greenwood Central School District,NY,,3600124,"5,938",5.54,18.66,16.39,41.9,96.56,0.64,0.22,0.47,0,1.57,88.3,16.7,0.86,"43,827","49,858",12,"71,700"
Canton Central School District,NY,,3606470,"10,972",2.73,11.02,9.75,22.1,91.7,4.22,0.44,0.99,0,2.85,88.9,29.5,0.82,"52,385","60,375",15.2,"96,500"
Carle Place Union Free School District,NY,,3606540,"9,955",3.59,18.19,13.84,42,89.32,1.61,0,4.64,0,8.81,89.1,42.3,8.78,"87,902","102,031",2.5,"506,200"
Carmel Central School District,NY,,3606570,"31,367",5.18,16.31,10.05,40.9,87.91,3.57,0,1.08,0,11.01,93.5,30.7,4.41,"82,546","96,535",12.1,"370,300"
Carthage Central School District,NY,,3606630,"15,728",6.1,17.66,11.72,38.4,91.8,2.56,0.41,1.21,0,3.77,88,16.2,1.89,"46,292","50,853",11.4,"100,700"
Cassadaga Valley Central School District,NY,,3606660,"7,088",5.54,17.8,13.43,39.6,94.95,2,0.78,0,0,2.79,86.5,17.9,0.39,"45,685","51,518",20.6,"69,700"
Cato-Meridian Central School District,NY,,3606690,"6,739",4.27,22.41,10.89,39.3,97.66,1.22,0.15,0.22,0,0.56,88.3,12.3,0.39,"51,905","58,243",8.6,"92,700"
Catskill Central School District,NY,,3606720,"12,298",5.24,14.22,17.77,43.9,88.1,6.07,0.26,0.54,0,6.81,83.1,18.3,4.2,"43,597","49,640",13.7,"162,600"
Cattaraugus-Little Valley Central School District,NY,,3606750,"6,692",5.89,17.75,15.77,42.6,95.85,0.87,0.99,0.43,0,1.03,84.9,12.6,1.71,"43,194","50,994",14.1,"76,200"
Cazenovia Central School District,NY,,3606780,"10,497",5.58,19.04,13.97,40.9,97.72,0.07,0.36,1.42,0,0.87,94.1,45.1,0.75,"64,233","79,826",6.3,"175,000"
Center Moriches Union Free School District,NY,,3606840,"7,944",6.66,18.72,10.08,38.9,93.86,4.63,0,0.34,0,9.19,86.1,26,6.89,"94,709","102,100",3.4,"405,500"
Central Islip Union Free School District,NY,,3606870,"36,044",8.8,18.86,9.45,34.1,52.78,27.06,1.21,3.54,0,44.29,76.6,18.2,26.29,"71,021","74,989",7.4,"333,200"
Central Square Central School District,NY,,3606900,"24,623",6.09,18.86,10.19,39.5,97.87,0.42,0.31,0.38,0,0.56,89.1,16.4,0.85,"55,288","68,471",8.4,"108,900"
Chappaqua Central School District,NY,,3606990,"17,115",6.57,26.16,9.49,41.3,88.07,0.85,0.04,8.2,0.23,0.99,97.7,80.1,3.34,"202,105","214,458",1.3,"949,100"
Charlotte Valley Central School District,NY,,3607050,"3,191",5.05,14.7,19.96,43.7,98.75,0,0,1.13,0,0.25,80.3,14.2,0.89,"46,406","50,060",12.9,"99,100"
Chateaugay Central School District,NY,,3607080,"3,195",4.04,15.84,14.08,42.7,94.77,2.82,0,0.63,0,2.88,81.3,12.7,2.41,"42,600","51,823",9.8,"80,800"
Chatham Central School District,NY,,3607110,"8,995",4.26,17.72,13.83,44.4,95.62,2.27,0,1.5,0,0.32,92.6,35,1.39,"56,490","73,286",6.8,"225,400"
Chautauqua Lake Central School District,NY,,3600018,"5,742",4.58,14.93,19.04,44.4,96.5,1.52,0.35,0.05,0,1.34,86.6,28.5,2.37,"50,453","59,237",11.1,"111,900"
Chazy Union Free School District,NY,,3607170,"3,065",6.95,16.02,14.42,39.3,97.75,0.69,0.36,0,0,1.99,87.3,20.6,0,"50,577","58,542",13.4,"134,400"
Cheektowaga Central School District,NY,,3607230,"21,853",5.17,14.96,22.58,43.1,80.96,15.34,0.23,1.18,0,2.83,84.8,18.5,3.21,"41,557","57,348",10.9,"93,700"
Cheektowaga-Maryvale Union Free School District,NY,,3618600,"17,940",5.15,14.67,21.43,42.7,92.3,4.16,0.29,2.31,0,1.15,86.4,16.9,2.67,"44,501","54,207",8.1,"92,300"
Cheektowaga-Sloan Union Free School District,NY,,3627000,"11,559",4.25,13.35,21.35,45.4,96.25,1.66,0.16,1.05,0,0.63,78.7,11.3,2.7,"43,392","54,118",10.2,"78,100"
Chenango Forks Central School District,NY,,3607260,"9,156",4.4,17.14,15.59,43.1,96.13,0.68,0.1,1.08,0.13,1.85,88.7,22.2,1.14,"52,242","64,227",5.6,"96,900"
Chenango Valley Central School District,NY,,3607290,"12,749",4.93,15.87,19.18,43.4,96.23,1.87,0.32,0.67,0,0.21,90.8,26.4,1.06,"48,414","60,596",10.2,"99,000"
Cherry Valley-Springfield Central School District,NY,,3600006,"4,127",4.72,14.73,13.52,44.9,99.44,0.05,0.12,0.07,0,0.9,88.1,24,0.51,"48,425","57,083",10.3,"135,400"
Chester Union Free School District,NY,,3607380,"6,193",5.7,14.87,12.74,40.4,80.91,11.71,0.52,3.02,0,9.62,88.6,31.6,1.3,"82,321","95,513",3.6,"290,900"
Chittenango Central School District,NY,,3607470,"13,534",5.1,19.05,13.03,40.9,98.96,0.13,0.2,0.13,0,1.02,87.8,19.4,0.75,"57,399","66,598",10,"110,500"
Churchville-Chili Central School District,NY,,3607530,"26,740",5.79,17.57,11.99,39.3,91.72,5.26,0.09,1.15,0,2.52,91.4,32.1,2.8,"61,720","73,223",6.3,"134,900"
Cincinnatus Central School District,NY,,3607560,"3,633",7.82,17.12,11.75,38.8,96.92,0.85,0.69,0.11,0,1.35,83.3,13.7,0.72,"45,878","49,955",12.7,"78,100"
Clarence Central School District,NY,,3607590,"25,040",5.34,20.96,17.15,42.6,96.05,0.98,0.23,2.22,0,0.75,94.8,43.3,1.46,"78,695","89,097",5.5,"196,000"
Clarkstown Central School District,NY,,3620340,"48,717",5.87,18.65,14.47,43.5,85.86,2.38,0.12,9.32,0,6.99,94.4,50.9,5.5,"113,249","127,635",2.8,"555,700"
Cleveland Hill Union Free School District,NY,,3607680,"11,140",5.08,16.75,17.3,39.7,82.35,13.82,0.24,0.36,0.13,3.65,89.1,23.1,1.12,"43,722","56,641",9.8,"83,700"
Clifton-Fine Central School District,NY,,3607710,"2,072",4.34,17.66,18.48,47,97.83,0,0.43,0.19,0,0.29,87.5,13.2,0.66,"37,685","40,462",14.8,"63,000"
Clinton Central School District,NY,,3607770,"11,693",2.97,12.64,15.96,36.9,94.77,0.97,0.23,2.73,0.27,1.24,91.8,36,1.62,"55,149","71,548",5,"130,300"
Clyde-Savannah Central School District,NY,,3607860,"5,304",6.03,23.87,12.69,38,94.19,2.9,0.81,0.45,0,1.83,77,10.6,2.85,"43,284","48,910",18.7,"69,700"
Clymer Central School District,NY,,3607890,"3,188",8.94,20.95,14.46,36.4,96.55,0.22,1.69,0,0,0.6,80.5,15.7,2.93,"41,645","46,813",19.1,"89,900"
Cobleskill-Richmondville Central School District,NY,,3600010,"13,155",5.31,14.89,14.78,35.7,95.04,1.63,0.84,0.66,0,3.51,83.7,21.5,1.04,"46,239","58,213",14.3,"135,500"
Cohoes City School District,NY,,3607980,"15,109",5,13.99,15.96,42.7,94.18,2.75,0.2,0.32,0,2.97,80.9,16.2,3.82,"41,117","52,283",16.1,"135,000"
Cold Spring Harbor Central School District,NY,,3608010,"8,058",5.01,26.77,12.56,40.7,94.43,0.25,0.19,2.56,0,4.13,98.2,68.7,2.5,"182,941","201,429",3,"1,000,000"
Colton-Pierrepont Central School District,NY,,3608100,"2,580",3.68,13.95,16.4,44.8,99.46,0.31,0,0.12,0,0.39,91.6,24,0.85,"51,250","58,935",10.4,"102,400"
Commack Union Free School District,NY,,3608130,"38,374",5.57,22.04,14.34,40.6,92.74,0.56,0.11,5.83,0,3.89,95,45.1,4.79,"108,784","117,624",2,"547,600"
Connetquot Central School District,NY,,3608160,"41,649",4.73,18.74,11.61,39.7,93.56,1.81,0.03,2.18,0,6.25,92.6,27.4,2.53,"88,188","99,200",3.8,"422,200"
Cooperstown Central School District,NY,,3608250,"6,777",3.69,18.25,16.13,44.5,97.73,0.44,0,1.18,0,1.02,89,39.8,1.56,"51,038","59,068",13,"189,000"
Copenhagen Central School District,NY,,3608280,"2,419",4.96,14.63,13.6,43.6,92.6,1.28,2.69,0.12,0,1.36,87.9,14.2,0,"51,277","54,352",9.2,"112,100"
Copiague Union Free School District,NY,,3608310,"31,520",7.8,17.91,10.95,35.9,60.43,29.47,0.76,1.08,0.47,19.79,80.9,17.2,15.46,"68,036","74,164",8.7,"368,900"
Corinth Central School District,NY,,3608370,"7,415",6.35,12.87,10.84,38.2,96.67,3.2,0,0,0,1.55,82.7,15.8,0.46,"49,327","61,747",14.5,"134,400"
Corning City School District,NY,,3608400,"32,332",6.41,16.8,15.4,40,94.16,2.08,0.08,2.81,0,1.69,89.2,27.4,1.7,"45,355","57,100",13.2,"87,300"
Cornwall Central School District,NY,,3608430,"16,379",5.24,22.02,13.63,40.6,91.78,2,0.2,3.45,0,5.01,92.1,40,2.76,"80,636","97,724",4.5,"361,100"
Cortland City School District,NY,,3608460,"23,660",4.56,13.43,12.23,30.5,93.95,2.8,0.5,0.84,0.07,2.69,88,27.9,1.76,"40,739","56,647",18.9,"91,300"
